Number,PM,Team,Cycle,Project,Themes,Aligned_with_Company_Metrics_or_KR,Company_Metric_or_KR,Incremental_vs_Strategic,Revenue_Cost_of_Delay,Customer_Churn_Risk_of_Delay,Usage_Cost_of_Delay,Has_Risk_Cost_of_Delay,Status
1,Phil,C360,4,Improve Pipelines validation workflows and bug fixes (Private Preview),Pipelines,Y,,S,None,Medium,Medium,None,
2,Phil,C360,4,HybridCompute UX Bug Fixes and Improvements (GA),Hybrid Compute,Y,,S,None,None,None,None,
3,Phil,EXE,4,HybridCompute Connector Hardening,Hybrid Compute,Y,,S,Low,Medium,Medium,None,
4,Phil,EXE,4,Query Service Permissions Integration,Query Service,Y,,S,None,None,Low,None,
5,Phil,EXE,4,Spark Performance Improvements,Spark 3,Y,,S,Medium,None,None,None,
6,Allan,CX,4,Exporting on Multiple Values per User,Multi-Entity,Y,,I,Small,None,None,None,
7,Allan,CX,4,Journeys v2 Hardening,Journeys,Y,,S,Small,None,Small,None,
8,Allan,CX,4,Integration Improvements,Activations,N,,I,Small,Low,Low,None,
11,Peter,CINT,4,Universal Login,Configuration & Access,N,,S,None,None,None,None,
12,Peter,CINT,4,AI Explainer,UX,N,,I,None,None,Small,None,
13,Peter,CINT,4,Validate timezone on the Variable UI,UX,N,,I,None,None,None,Large,
9,Peter,RT,4,Streaming Qualifications Hardening,Triggers,Y,,I,None,None,None,None,
10,Peter,RT,4,RT Event Consumption Tracking,Billing,Y,,S,None,None,None,Large,
26,Allan,CX,3,Activating on Secondary IDs,Multi-Entity,Y,,S,None,None,None,None,
27,Allan,CX,3,Journeys v2 Restart,Journeys,Y,,S,None,Medium,Medium,None,
14,Phil,C360,3,Pipelines - Ingest Source Validation,Pipelines,Y,,S,None,Medium,Medium,None,
15,Phil,C360,3,Pipelines - Running Pipelines on Dev Branches,Pipelines,Y,,S,None,Medium,Medium,None,
16,Phil,C360,3,Streaming Ingest V2 - Rollout,Streaming Ingest,N,,I,None,None,None,None,
17,Phil,C360,3,Databricks POC,Spark 3,Y,,S,None,None,None,None,
18,Phil,EXE,3,Spark 3 Rollout,Spark 3,Y,,I,Medium,None,None,None,
19,Phil,EXE,3,Spark performance enhancements,Spark 3,Y,,I,Medium,None,None,None,
20,Phil,EXE,3,Query Service GA,Query Service,Y,,S,Small,None,Small,None,
21,Peter,CINT,3,Universal Login,Configuration & Access,N,,S,None,None,None,None,
22,Peter,CINT,3,Muli-workspace SSO GA,Configuration & Access,Y,,I,None,Medium,Medium,None,
23,Peter,CINT,3,Attribute Testing,UX,N,,I,None,None,Small,None,
28,Allan,CX,3,AWS Step Functions for Journeys v2,Journeys,Y,,S,None,Medium,Medium,None,
24,Peter,RT,3,Streaming Qualifications Batch Support,Triggers,Y,,S,None,Small,Small,None,
25,Peter,RT,3,Streaming Qualifications UI,Triggers,Y,,S,None,Small,Small,None,
34,Allan,CX,2,Splitting Exports on any Attribute,Multi-Entity,Y,,S,None,None,Small,None,
35,Allan,CX,2,UI Improvements in Export Cards,UX,N,,I,None,None,None,None,
36,Allan,CX,2,Pitch - Cycle 2 Integration Updates,Activations,N,,I,None,Medium,Medium,None,
37,Allan,CX,2,Spark 3 Upgrade CX Support,Spark 3,Y,,I,None,None,None,None,
29,Phil,C360,2,GDPR - Right to be forgotten improvements,Configuration & Access,N,,I,None,None,None,Medium,
30,Phil,C360,2,Streaming Ingest V2 - Phase2,Streaming Ingest,N,,I,Small,None,Small,None,
31,Phil,C360,2,Pipelines Scheduling,Pipelines,Y,50% of new ingests configured through Pipelines in Q4 ++ Net Retention >=120%,S,None,Medium,Medium,None,
32,Phil,C360,2,Pipelines - Sentinel-triggered ingest,Pipelines,Y,50% of new ingests configured through Pipelines in Q4 ++ Net Retention >=120%,S,None,Medium,Medium,None,
33,Phil,C360,2,Pipelines - Trigger ingest from the UI,Pipelines,Y,50% of new ingests configured through Pipelines in Q4 ++ Net Retention >=120%,S,None,Medium,Medium,None,
40,Phil,EXE,2,Spark 3 Upgrade Part 2,Spark 3,Y,,I,Small,None,None,None,
41,Phil,EXE,2,ERTSS Event Log,Billing,Y,Net Retention >=120%,S,None,Medium,None,Medium,
42,Phil,EXE,2,HybridCompute Export Optimization,Hybrid Compute,Y,100% of customers deployed on HybridCompute referencable with respect to HybridCompute in 6 months,I,None,None,None,None,
43,Phil,EXE,2,Query Service MVP,Query Service,Y,15 customers weekly active on Query Service w/ 150K cumulative ICCs attributable ++ Net Retention >=120%,S,None,Medium,Medium,None,
44,Phil,EXE,2,HybridCompute UDF Pushdown,Hybrid Compute,Y,100% of customers deployed on HybridCompute referencable with respect to HybridCompute in 6 months,I,None,None,None,None,
45,Peter,CINT,2,Automatically organize the UI for different identities,Multi-Entity,Y,5 customers onboarded on Multi-Identity,I,None,None,None,None,
46,Peter,CINT,2,Multi-Workspace Access Q2 Cycle 2,Configuration & Access,Y,Net Retention >=120%,I,Small,Small,Low,None,
47,Peter,CINT,2,Credit Dashboard & Monitor,Billing,Y,Net Retention >=120%,S,None,Medium,None,Medium,
38,Peter,RT,2,Streaming Qualifications Private Preview,Triggers,Y,50% of customers with production use cases on Triggers or Profile API ++ Net Retention >=120% ++ ARR  >$50M,S,None,Medium,Medium,None,
39,Peter,RT,2,Profile API Profile Deletion,Configuration & Access,Y,50% of customers with production use cases on Triggers or Profile API ++ Net Retention >=120% ++ ARR  >$50M,I,None,Small,None,None,
54,Allan,CX,1,Updating audiences in Journeys,Journeys,Y,50% YoY growth in new Journey creation ++ X% of customers consider Journeys as the primary orchestration solution ++ Net Retention >=120%,S,None,Small,Medium,None,
55,Allan,CX,1,DV360 integration via Google Audience Partner API (carryover from Q1),Activations,Y,Net Retention >=120%,I,None,Large,Large,None,
56,Allan,CX,1,Run Customer Journeys for 1 customer in Production,Journeys,Y,50% YoY growth in new Journey creation ++ X% of customers consider Journeys as the primary orchestration solution,S,Small,None,Small,None,
48,Phil,C360,1,HybridCompute 360 Beta Readiness,Hybrid Compute,Y,100% of customers deployed on HybridCompute referencable with respect to HybridCompute in 6 months ++ Net Retention >=120%,S,None,Medium,Small,None,
49,Phil,C360,1,Pipelines End-to-End Ingest MVP,Pipelines,Y,50% of new ingests configured through Pipelines in Q4 ++ Net Retention >=120%,S,None,None,None,None,
50,Phil,C360,1,Streaming Ingest Improvements,Streaming Ingest,N,,I,None,None,None,None,
51,Phil,EXE,1,Spark 3 Upgrade,Spark 3,Y,,I,Small,None,None,None,
52,Phil,EXE,1,HybridCompute EXE Beta Readiness (and Teradata Connector),Hybrid Compute,Y,100% of customers deployed on HybridCompute referencable with respect to HybridCompute in 6 months ++ Net Retention >=120%,S,None,Medium,Small,None,
53,Phil,EXE,1,Query Service MVP,Query Service,Y,15 customers weekly active on Query Service w/ 150K cumulative ICCs attributable ++ Net Retention >=120%,S,None,None,Small,None,
57,Peter,CINT,1,Credit Dashboard & Monitor Cleanup & Rollout,Billing,Y,Net Retention >=120%,S,None,None,None,Medium,
58,Peter,CINT,1,Multi-workspace Access,Configuration & Access,Y,Net Retention >=120%,I,Small,Small,Small,None,
59,Peter,CINT,1,Setting page cleanup & rollout,Configuration & Access,N,,I,None,None,None,None,
60,Peter,CINT,1,UI Performance - Audience List Page (Cold Start),UX,Y,Net Retention >=120%,I,None,None,None,None,
61,Peter,RT,1,Streaming Quals,Triggers,Y,50% of customers with production use cases on Triggers or Profile API ++ Net Retention >=120% ++ ARR  >$50M,S,None,Small,Small,None,