1, 'Toyota', 1849751, -9
2, 'Ford', 1767439, -2
3, 'Chevrolet', 1502389, 6
4, 'Honda', 881201, -33
5, 'Hyundai', 724265, -2
6, 'Kia', 693549, -1
7, 'Jeep', 684612, -12
8, 'Nissan', 682731, -25
9, 'Subaru', 556581, -5
10, 'Ram Trucks', 545194, -16
11, 'GMC', 517649, 7
12, 'Mercedes-Benz', 350949, 7
13, 'BMW', 332388, -1
14, 'Volkswagen', 301069, -20
15, 'Mazda', 294908, -11
16, 'Lexus', 258704, -15
17, 'Dodge', 190793, -12
18, 'Audi', 186875, -5
19, 'Cadillac', 134726, 14
20, 'Chrysler', 112713, -2
21, 'Buick', 103519, -42
22, 'Acura', 102306, -35
23, 'Volvo', 102038, -16
24, 'Mitsubishi', 102037, -16
25, 'Lincoln', 83486, -4
26, 'Porsche', 70065, 0
27, 'Genesis', 56410, 14
28, 'INFINITI', 46619, -20
29, 'MINI', 29504, -1
30, 'Alfa Romeo', 12845, -30
31, 'Maserati', 6413, -10
32, 'Bentley', 3975, 0
33, 'Lamborghini', 3134, 3
34, 'Fiat', 915, -61
35, 'McLaren', 840, -35
36, 'Rolls-Royce', 460, 7