ID,Brand,Sales,Sales_Change,State
1,'Toyota',1849751,-9,NY
2,'Ford',1767439,-2,TX
3,'Chevrolet',1502389,6,NY
4,'Honda',881201,-33,CT
5,'Hyundai',724265,-2,TX
6,'Kia',693549,-1,CT
7,'Jeep',684612,-12,CT
8,'Nissan',682731,-25,NY
9,'Subaru',556581,-5,NJ
10,'Ram Trucks',545194,-16,TX
11,'GMC',517649,7,NJ
12,'Mercedes-Benz',350949,7,NJ
13,'BMW',332388,-1,NJ
14,'Volkswagen',301069,-20,NY
15,'Mazda',294908,-11,NJ
16,'Lexus',258704,-15,TX
17,'Dodge',190793,-12,CT
18,'Audi',186875,-5,TX
19,'Cadillac',134726,14,NY
20,'Chrysler',112713,-2,NJ
21,'Buick',103519,-42,NJ
22,'Acura',102306,-35,TX
23,'Volvo',102038,-16,TX
24,'Mitsubishi',102037,-16,NJ
25,'Lincoln',83486,-4,CT
26,'Porsche',70065,0,NJ
27,'Genesis',56410,14,NY
28,'INFINITI',46619,-20,NJ
29,'MINI',29504,-1,CT
30,'Alfa Romeo',12845,-30,NJ
31,'Maserati',6413,-10,NJ
32,'Bentley',3975,0,CT
33,'Lamborghini',3134,3,NY
34,'Fiat',915,-61,NJ
35,'McLaren',840,-35,CT
36,'Rolls-Royce',460,7,NJ