instance_type,stack_type1,type
m7i.2xlarge,cmp,no_disk
r5a.4xlarge,cmp,no_disk
m5a.4xlarge,cmp,no_disk
r6id.4xlarge,io,attached_disk
m5d.8xlarge,io,attached_disk
g5.8xlarge,io,no_disk
r5ad.2xlarge,cmp,attached_disk
m6id.4xlarge,cmp,attached_disk
m5ad.4xlarge,cmp,attached_disk
c5.2xlarge,io,no_disk
m7a.4xlarge,cmp,no_disk
m5ad.8xlarge,io,attached_disk
m5d.12xlarge,io,attached_disk
r5ad.8xlarge,io,attached_disk
r6id.8xlarge,io,attached_disk
m5a.2xlarge,cmp,no_disk
r5n.4xlarge,cmp,no_disk
m6idn.8xlarge,io,attached_disk
r6a.2xlarge,cmp,no_disk
m7i.4xlarge,cmp,no_disk
r6idn.2xlarge,cmp,attached_disk
r6idn.4xlarge,io,attached_disk
r5dn.8xlarge,io,attached_disk
m6id.8xlarge,io,attached_disk
g4ad.8xlarge,io,attached_disk
r6idn.8xlarge,io,attached_disk
c5d.18xlarge,io,attached_disk
r6i.2xlarge,cmp,no_disk
g4dn.4xlarge,io,attached_disk
i4i.4xlarge,io,no_disk
r5d.8xlarge,io,attached_disk
m4.4xlarge,cmp,no_disk
c6i.8xlarge,cmp,no_disk
r6idn.4xlarge,cmp,attached_disk
r6in.2xlarge,cmp,no_disk
c5a.8xlarge,cmp,no_disk
c5ad.16xlarge,io,attached_disk
z1d.6xlarge,io,attached_disk
i4i.8xlarge,io,no_disk
m5dn.8xlarge,io,attached_disk
r5ad.4xlarge,io,attached_disk
m5.4xlarge,cmp,no_disk
r7a.4xlarge,cmp,no_disk
m6idn.4xlarge,io,attached_disk
i3.4xlarge,io,no_disk
r6a.4xlarge,cmp,no_disk
g4ad.4xlarge,cmp,attached_disk
g4dn.4xlarge,cmp,attached_disk
m7i-flex.4xlarge,cmp,no_disk
r5dn.4xlarge,io,attached_disk
g4ad.4xlarge,io,attached_disk
g3.4xlarge,cmp,no_disk
i3en.6xlarge,io,no_disk
r6id.2xlarge,cmp,attached_disk
r7i.4xlarge,cmp,no_disk
i3.4xlarge,cmp,no_disk
m6idn.4xlarge,cmp,attached_disk
r7iz.2xlarge,cmp,no_disk
m6in.4xlarge,cmp,no_disk
m7a.2xlarge,cmp,no_disk
c6a.8xlarge,cmp,no_disk
i3.8xlarge,io,no_disk
r5n.2xlarge,cmp,no_disk
c5.2xlarge,cmp,no_disk
r7i.2xlarge,cmp,no_disk
r5ad.4xlarge,cmp,attached_disk
m7i-flex.2xlarge,cmp,no_disk
r4.4xlarge,cmp,no_disk
r5.2xlarge,cmp,no_disk
m6i.4xlarge,cmp,no_disk
r6i.4xlarge,cmp,no_disk
m5d.4xlarge,cmp,attached_disk
inf2.8xlarge,cmp,no_disk
r7iz.4xlarge,cmp,no_disk
m5dn.4xlarge,cmp,attached_disk
m5ad.12xlarge,io,attached_disk
r4.2xlarge,cmp,no_disk
i3.2xlarge,cmp,no_disk
r5dn.2xlarge,cmp,attached_disk
r5b.2xlarge,cmp,no_disk
r5.4xlarge,cmp,no_disk
r5d.4xlarge,io,attached_disk
g4dn.8xlarge,io,attached_disk
i4i.2xlarge,cmp,no_disk
m6a.2xlarge,cmp,no_disk
r5d.2xlarge,cmp,attached_disk
m5n.4xlarge,cmp,no_disk
m6a.4xlarge,cmp,no_disk
r6id.4xlarge,cmp,attached_disk
r7a.2xlarge,cmp,no_disk
r5a.2xlarge,cmp,no_disk